Order_ID,Order_Date,Shipment_Date,Origin_Country,Destination_Country,Product_Category,Units_Sold,Unit_Price,Revenue,Shipping_Cost,Custom_Duty,Profit,Delivery_Days,Export_Mode,Customer_Type,Year,Month,Quarter
ORD00026,2024-12-06,2024-12-13,China,UK,Home,254,147.49,37462.46,1565.15,2200.17,13573.53,7,Air,B2B,2024,Dec,Q4
ORD00027,2024-07-27,2024-08-07,USA,China,Electronics,560,122.31,68493.6,3689.62,5205.21,14101.26,11,Sea,Retail,2024,Jul,Q3
ORD00028,2023-08-07,2023-08-11,China,Singapore,Home,636,492.25,313071.0,32133.29,16197.18,76785.55,4,Road,Distributor,2023,Aug,Q3
ORD00029,2022-08-01,2022-08-05,China,USA,Electronics,770,285.55,219873.5,11985.6,12376.63,60226.7,4,Sea,Distributor,2022,Aug,Q3
ORD00030,2023-06-25,2023-07-05,China,Canada,Electronics,104,324.46,33743.84,3531.0,764.14,12574.52,10,Sea,Distributor,2023,Jun,Q2
ORD00031,2023-06-21,2023-06-25,USA,Japan,Sports,732,225.29,164912.28,5090.89,4042.76,46123.19,4,Sea,Distributor,2023,Jun,Q2
ORD00032,2022-03-15,2022-03-30,China,Singapore,Fashion,450,81.17,36526.5,2109.16,2700.73,8382.14,15,Air,Retail,2022,Mar,Q1
ORD00033,2023-03-07,2023-03-19,India,USA,Home,808,288.74,233301.92,25365.55,18297.92,43861.31,12,Sea,B2B,2023,Mar,Q1
ORD00034,2022-12-29,2023-01-06,India,Germany,Home,811,466.79,378566.69,38689.96,27197.69,69175.56,8,Road,B2B,2022,Dec,Q4
ORD00035,2022-08-10,2022-08-18,India,Japan,Fashion,214,411.96,88159.44,6296.99,3377.52,22185.99,8,Sea,B2B,2022,Aug,Q3
ORD00036,2022-02-18,2022-03-02,India,Australia,Home,295,434.89,128292.55,15012.8,4714.43,32559.1,12,Rail,Distributor,2022,Feb,Q1
ORD00037,2023-11-10,2023-11-12,India,Canada,Fashion,604,482.02,291140.08,15690.11,7716.42,113321.84,2,Road,Retail,2023,Nov,Q4
ORD00038,2024-11-13,2024-11-16,China,UK,Home,55,360.22,19812.1,597.38,1496.5,6593.02,3,Sea,Retail,2024,Nov,Q4
ORD00039,2024-06-02,2024-06-05,USA,UAE,Sports,331,338.43,112020.33,4617.06,8289.82,37262.91,3,Rail,Retail,2024,Jun,Q2
ORD00040,2024-04-04,2024-04-17,China,Singapore,Fashion,206,221.81,45692.86,5237.9,2770.77,7031.52,13,Road,Retail,2024,Apr,Q2
ORD00041,2022-01-01,2022-01-07,China,UK,Beauty,814,298.39,242889.46,21598.58,11634.23,80282.08,6,Sea,Distributor,2022,Jan,Q1
ORD00042,2024-08-27,2024-09-10,USA,Germany,Electronics,300,267.42,80226.0,6976.83,3217.97,18243.15,14,Sea,Distributor,2024,Aug,Q3
ORD00043,2023-09-28,2023-10-03,India,Germany,Electronics,57,137.52,7838.64,570.36,556.42,3405.14,5,Rail,Distributor,2023,Sep,Q3
ORD00044,2023-02-03,2023-02-16,USA,Australia,Beauty,419,137.11,57449.09,5115.57,1168.09,15243.13,13,Air,Retail,2023,Feb,Q1
ORD00045,2023-03-25,2023-03-29,USA,Singapore,Beauty,61,287.55,17540.55,1974.58,478.53,7369.57,4,Rail,Distributor,2023,Mar,Q1
ORD00046,2024-12-23,2025-01-02,USA,UAE,Beauty,637,411.2,261934.4,28886.6,11945.37,45067.74,10,Rail,B2B,2024,Dec,Q4
ORD00047,2024-08-30,2024-09-08,China,UK,Home,794,393.28,312264.32,22986.94,10727.76,112436.94,9,Road,B2B,2024,Aug,Q3
ORD00048,2023-07-11,2023-07-18,China,Singapore,Electronics,151,92.4,13952.4,899.56,406.97,6169.36,7,Rail,Retail,2023,Jul,Q3
ORD00049,2023-11-09,2023-11-19,China,Australia,Electronics,221,419.79,92773.59,6035.19,6140.47,17157.62,10,Air,Distributor,2023,Nov,Q4
ORD00050,2024-02-19,2024-02-28,India,UAE,Home,781,207.19,161815.39,17839.78,11350.33,41771.41,9,Sea,Retail,2024,Feb,Q1
ORD00051,2023-03-26,2023-04-01,China,Japan,Electronics,408,181.34,73986.72,6741.87,3274.58,30712.25,6,Rail,B2B,2023,Mar,Q1
ORD00052,2024-12-29,2024-12-31,China,India,Electronics,668,225.73,150787.64,16287.57,4659.9,57756.61,2,Road,B2B,2024,Dec,Q4
ORD00053,2024-07-20,2024-07-27,China,Australia,Home,780,476.58,371732.4,25255.81,26056.45,119278.69,7,Air,Retail,2024,Jul,Q3
ORD00054,2023-04-05,2023-04-17,India,China,Electronics,982,138.7,136203.4,14373.63,7801.75,49799.47,12,Rail,Distributor,2023,Apr,Q2
ORD00055,2022-08-23,2022-09-03,India,Japan,Home,795,197.07,156670.65,13243.42,12192.75,34802.57,11,Sea,Retail,2022,Aug,Q3
ORD00056,2022-08-10,2022-08-21,India,Canada,Sports,703,455.85,320462.55,20438.34,24511.62,128260.39,11,Sea,B2B,2022,Aug,Q3
ORD00057,2023-09-10,2023-09-25,USA,China,Sports,811,39.71,32204.81,2510.27,1922.35,14224.04,15,Road,B2B,2023,Sep,Q3
ORD00058,2024-05-10,2024-05-25,China,USA,Beauty,993,193.85,192493.05,21220.77,9159.66,76280.48,15,Sea,Distributor,2024,May,Q2
ORD00059,2024-12-04,2024-12-16,China,Singapore,Beauty,486,229.08,111332.88,10664.84,4019.53,23668.25,12,Air,Retail,2024,Dec,Q4
ORD00060,2024-07-12,2024-07-17,China,Australia,Home,39,257.27,10033.53,594.5,494.18,3863.39,5,Road,Retail,2024,Jul,Q3
ORD00061,2023-07-27,2023-08-07,USA,Canada,Sports,20,267.98,5359.6,252.95,184.81,2124.51,11,Sea,Distributor,2023,Jul,Q3
ORD00062,2024-09-02,2024-09-14,USA,Japan,Beauty,821,28.28,23217.88,1311.37,1027.72,9896.93,12,Road,Retail,2024,Sep,Q3
ORD00063,2024-12-23,2024-12-30,China,Singapore,Home,370,357.37,132226.9,7190.83,4639.08,62720.04,7,Sea,Retail,2024,Dec,Q4
ORD00064,2022-09-02,2022-09-15,USA,Germany,Fashion,231,374.53,86516.43,4748.45,4790.87,22639.4,13,Road,B2B,2022,Sep,Q3
ORD00065,2023-02-02,2023-02-08,India,UAE,Fashion,319,26.79,8546.01,667.21,311.58,1650.92,6,Road,Distributor,2023,Feb,Q1
ORD00066,2022-09-16,2022-09-28,China,USA,Electronics,597,156.48,93418.56,6827.43,3778.07,18387.02,12,Road,Retail,2022,Sep,Q3
ORD00067,2022-08-22,2022-09-06,India,Australia,Beauty,85,296.97,25242.45,2316.77,734.65,5951.49,15,Road,B2B,2022,Aug,Q3
ORD00068,2023-05-24,2023-05-27,USA,Australia,Sports,620,399.56,247727.2,12463.61,12721.87,89969.43,3,Rail,Retail,2023,May,Q2
ORD00069,2024-05-28,2024-06-03,USA,India,Sports,993,375.24,372613.32,42956.03,12097.74,144924.98,6,Air,B2B,2024,May,Q2
ORD00070,2023-05-07,2023-05-11,USA,China,Fashion,12,216.09,2593.08,238.68,124.97,1166.81,4,Road,Distributor,2023,May,Q2
ORD00071,2023-08-03,2023-08-16,China,USA,Fashion,956,146.99,140522.44,14222.6,7783.17,28417.66,13,Sea,Retail,2023,Aug,Q3
ORD00072,2022-08-24,2022-09-03,India,Germany,Home,856,88.27,75559.12,2672.33,5104.6,24070.24,10,Road,Retail,2022,Aug,Q3
ORD00073,2022-09-12,2022-09-21,USA,Canada,Beauty,975,150.68,146913.0,11547.12,6797.01,43445.86,9,Rail,Distributor,2022,Sep,Q3
ORD00074,2023-10-23,2023-11-03,China,India,Electronics,244,481.72,117539.68,12369.44,6407.32,18220.51,11,Road,Distributor,2023,Oct,Q4
ORD00075,2022-03-24,2022-04-07,India,Japan,Sports,677,232.27,157246.79,8653.93,12550.92,52580.77,14,Rail,B2B,2022,Mar,Q1
ORD00076,2024-08-20,2024-08-27,China,UAE,Home,696,70.21,48866.16,2173.29,2184.25,17698.66,7,Rail,Distributor,2024,Aug,Q3
ORD00077,2022-03-17,2022-03-26,India,UAE,Home,341,75.64,25793.24,2567.18,1854.4,4671.1,9,Air,Distributor,2022,Mar,Q1
ORD00078,2024-08-04,2024-08-12,India,UK,Sports,380,318.86,121166.8,9071.08,5636.98,56115.93,8,Road,Distributor,2024,Aug,Q3
ORD00079,2022-09-26,2022-10-02,China,Japan,Electronics,39,487.11,18997.29,1610.94,652.71,8232.1,6,Air,Distributor,2022,Sep,Q3
ORD00080,2024-04-15,2024-04-18,India,USA,Beauty,979,76.38,74776.02,7843.47,3731.51,17215.21,3,Road,Retail,2024,Apr,Q2
ORD00081,2024-09-15,2024-09-24,India,Japan,Sports,158,204.12,32250.96,3643.33,1628.49,5571.02,9,Air,Retail,2024,Sep,Q3
ORD00082,2024-04-29,2024-05-06,USA,Canada,Electronics,299,368.5,110181.5,11610.14,6037.44,26647.34,7,Sea,Retail,2024,Apr,Q2
ORD00083,2024-09-18,2024-09-25,China,Singapore,Sports,396,238.57,94473.72,5570.17,2958.84,28386.64,7,Rail,B2B,2024,Sep,Q3
ORD00084,2024-04-21,2024-04-23,China,Japan,Beauty,405,494.44,200248.2,20288.23,11838.9,78884.15,2,Air,B2B,2024,Apr,Q2
ORD00085,2024-10-25,2024-11-05,China,USA,Beauty,112,272.46,30515.52,2170.37,1933.06,10452.67,11,Sea,B2B,2024,Oct,Q4
ORD00086,2024-08-19,2024-09-02,China,UAE,Sports,719,210.79,151558.01,5642.26,6018.97,48612.29,14,Rail,Retail,2024,Aug,Q3
ORD00087,2024-09-26,2024-10-11,USA,India,Sports,80,132.69,10615.2,972.31,395.34,4277.03,15,Air,Retail,2024,Sep,Q3
ORD00088,2022-07-21,2022-08-04,USA,China,Beauty,180,353.12,63561.6,7074.93,1446.63,14434.15,14,Road,Retail,2022,Jul,Q3
ORD00089,2024-02-07,2024-02-15,India,UK,Sports,431,291.65,125701.15,12736.89,3796.05,55909.83,8,Rail,Distributor,2024,Feb,Q1
ORD00090,2023-05-09,2023-05-18,USA,Germany,Fashion,482,326.19,157223.58,11219.69,9435.06,31280.51,9,Rail,Retail,2023,May,Q2
ORD00091,2022-11-20,2022-11-23,China,UAE,Sports,316,326.69,103234.04,7039.3,3613.8,25108.08,3,Sea,Retail,2022,Nov,Q4
ORD00092,2024-09-16,2024-09-19,India,Australia,Sports,377,295.91,111558.07,13313.59,4207.28,16684.69,3,Rail,Retail,2024,Sep,Q3
ORD00093,2022-01-17,2022-01-28,USA,India,Sports,773,258.43,199766.39,22248.78,7425.65,42309.78,11,Road,B2B,2022,Jan,Q1
ORD00094,2023-01-25,2023-02-05,China,Germany,Electronics,935,321.18,300303.3,10074.58,20215.41,146886.15,11,Road,Distributor,2023,Jan,Q1
ORD00095,2022-09-27,2022-09-30,China,UAE,Beauty,189,116.38,21995.82,2216.87,1596.62,6969.8,3,Road,B2B,2022,Sep,Q3
ORD00096,2023-06-11,2023-06-26,China,Canada,Home,833,75.28,62708.24,7315.57,1783.76,10343.36,15,Rail,Distributor,2023,Jun,Q2
ORD00097,2024-01-20,2024-01-23,China,India,Home,559,79.32,44339.88,2801.07,2879.46,17436.14,3,Rail,Distributor,2024,Jan,Q1
ORD00098,2024-01-31,2024-02-03,USA,UK,Beauty,35,317.38,11108.3,1276.18,440.78,2914.93,3,Air,Distributor,2024,Jan,Q1
ORD00099,2024-08-08,2024-08-21,China,Australia,Electronics,153,41.77,6390.81,213.13,509.7,2889.02,13,Sea,Distributor,2024,Aug,Q3
ORD00100,2022-10-05,2022-10-13,China,UAE,Sports,439,301.92,132542.88,12643.79,9692.18,31148.19,8,Rail,Distributor,2022,Oct,Q4
ORD00101,2024-04-15,2024-04-21,India,UAE,Fashion,464,233.45,108320.8,5551.46,4523.6,23040.96,6,Road,Distributor,2024,Apr,Q2
ORD00102,2024-01-05,2024-01-07,China,Canada,Fashion,135,475.53,64196.55,6687.82,1637.04,26108.13,2,Air,B2B,2024,Jan,Q1
ORD00103,2023-11-15,2023-11-20,India,UK,Electronics,859,387.28,332673.52,16182.63,10963.95,85660.14,5,Road,B2B,2023,Nov,Q4
ORD00104,2022-01-06,2022-01-12,India,Germany,Sports,266,403.29,107275.14,4279.57,7722.4,48121.35,6,Road,B2B,2022,Jan,Q1
ORD00105,2023-10-26,2023-10-28,India,Canada,Electronics,139,376.02,52266.78,4042.72,3383.75,16466.05,2,Road,Distributor,2023,Oct,Q4
ORD00106,2022-08-12,2022-08-21,USA,UK,Sports,54,369.08,19930.32,2227.96,1186.54,6740.22,9,Air,B2B,2022,Aug,Q3
ORD00107,2024-09-07,2024-09-22,China,Australia,Electronics,512,361.95,185318.4,12957.58,13705.41,66620.08,15,Sea,B2B,2024,Sep,Q3
ORD00108,2022-09-16,2022-09-22,USA,Singapore,Home,400,497.42,198968.0,15469.78,9395.85,58377.0,6,Air,Distributor,2022,Sep,Q3
ORD00109,2022-08-23,2022-09-07,USA,Singapore,Fashion,450,236.75,106537.5,5387.01,4297.29,39743.81,15,Rail,Distributor,2022,Aug,Q3
ORD00110,2022-07-14,2022-07-21,China,UAE,Home,393,477.72,187743.96,17237.5,9097.34,81173.47,7,Air,B2B,2022,Jul,Q3
ORD00111,2024-06-03,2024-06-06,USA,UAE,Fashion,579,48.79,28249.41,3279.65,1517.02,6474.73,3,Rail,Retail,2024,Jun,Q2
ORD00112,2024-05-16,2024-05-31,USA,India,Home,624,169.98,106067.52,4171.0,5350.55,49195.41,15,Rail,B2B,2024,May,Q2
ORD00113,2022-08-10,2022-08-17,USA,UAE,Electronics,790,153.71,121430.9,6114.57,5555.07,40753.33,7,Air,Distributor,2022,Aug,Q3
ORD00114,2023-07-02,2023-07-04,India,Canada,Home,953,183.12,174513.36,5331.3,12598.43,57129.11,2,Rail,B2B,2023,Jul,Q3
ORD00115,2022-10-18,2022-10-31,USA,India,Electronics,774,274.63,212563.62,13573.78,10036.99,93889.56,13,Road,Distributor,2022,Oct,Q4
ORD00116,2023-10-27,2023-11-10,USA,China,Electronics,169,95.56,16149.64,1382.5,976.05,6012.93,14,Rail,Retail,2023,Oct,Q4
ORD00117,2024-06-24,2024-07-02,China,UK,Sports,126,185.68,23395.68,935.36,1419.96,7519.05,8,Road,B2B,2024,Jun,Q2
ORD00118,2023-03-28,2023-04-05,USA,India,Electronics,219,164.68,36064.92,1767.58,1018.26,16088.52,8,Road,B2B,2023,Mar,Q1
ORD00119,2022-01-16,2022-01-25,USA,Australia,Fashion,142,202.5,28755.0,2683.72,1438.2,5942.15,9,Road,B2B,2022,Jan,Q1
ORD00120,2024-03-24,2024-04-08,USA,India,Beauty,29,240.68,6979.72,258.3,270.7,2759.95,15,Rail,Distributor,2024,Mar,Q1
ORD00121,2024-05-05,2024-05-11,India,Australia,Electronics,999,175.89,175714.11,17943.75,10031.08,33594.03,6,Road,B2B,2024,May,Q2
ORD00122,2024-06-13,2024-06-28,India,UK,Beauty,613,212.22,130090.86,4823.54,9396.65,34727.61,15,Sea,Retail,2024,Jun,Q2
ORD00123,2022-12-11,2022-12-14,USA,China,Sports,532,113.07,60153.24,6006.94,2470.25,10322.68,3,Sea,B2B,2022,Dec,Q4
ORD00124,2022-07-30,2022-08-03,China,UK,Fashion,626,93.38,58455.88,5747.6,1433.41,11209.93,4,Rail,Retail,2022,Jul,Q3
ORD00125,2024-07-08,2024-07-20,USA,UAE,Home,164,231.09,37898.76,2736.4,2193.7,8755.18,12,Air,Retail,2024,Jul,Q3
ORD00126,2024-11-05,2024-11-08,China,Japan,Beauty,48,47.31,2270.88,238.11,55.87,479.77,3,Air,Distributor,2024,Nov,Q4
ORD00127,2024-11-04,2024-11-12,China,Singapore,Electronics,470,456.34,214479.8,17469.19,6712.01,65578.22,8,Sea,B2B,2024,Nov,Q4
ORD00128,2024-07-11,2024-07-14,China,USA,Sports,671,102.83,68998.93,3608.43,3192.27,25502.77,3,Sea,Retail,2024,Jul,Q3
ORD00129,2024-02-03,2024-02-09,China,Australia,Home,705,306.99,216427.95,21865.81,12734.26,90977.15,6,Air,Distributor,2024,Feb,Q1
ORD00130,2024-03-02,2024-03-08,China,Germany,Home,93,299.71,27873.03,1190.97,1142.49,6298.57,6,Rail,B2B,2024,Mar,Q1
ORD00131,2022-06-23,2022-06-29,USA,Australia,Home,842,81.34,68488.28,6386.86,5261.72,8956.17,6,Air,Distributor,2022,Jun,Q2
ORD00132,2024-05-17,2024-05-27,China,India,Home,326,106.53,34728.78,1711.34,2669.26,11390.39,10,Sea,B2B,2024,May,Q2
ORD00133,2022-11-14,2022-11-17,China,USA,Sports,799,279.09,222992.91,21513.9,11504.63,56495.56,3,Sea,Distributor,2022,Nov,Q4
ORD00134,2024-02-11,2024-02-15,India,Germany,Sports,838,453.27,379840.26,36049.3,8592.57,141749.61,4,Sea,Retail,2024,Feb,Q1
ORD00135,2023-08-07,2023-08-21,USA,Japan,Fashion,556,134.8,74948.8,8761.79,5026.23,10855.72,14,Sea,Retail,2023,Aug,Q3
ORD00136,2024-06-21,2024-06-30,China,Australia,Sports,550,220.96,121528.0,5418.35,3886.69,41566.7,9,Road,B2B,2024,Jun,Q2
ORD00137,2024-09-11,2024-09-26,China,Singapore,Electronics,738,426.03,314410.14,33517.68,11665.8,71483.1,15,Road,Retail,2024,Sep,Q3
ORD00138,2024-11-17,2024-11-21,China,USA,Fashion,846,236.54,200112.84,12299.47,4322.48,100248.54,4,Road,B2B,2024,Nov,Q4
ORD00139,2024-03-01,2024-03-04,China,UK,Electronics,336,466.8,156844.8,16551.18,9253.47,31065.05,3,Sea,B2B,2024,Mar,Q1
ORD00140,2023-08-11,2023-08-26,China,Germany,Beauty,469,315.37,147908.53,16495.82,3126.82,59553.33,15,Sea,Distributor,2023,Aug,Q3
ORD00141,2024-12-16,2024-12-24,India,Canada,Fashion,318,78.49,24959.82,1284.42,1456.08,7571.82,8,Air,B2B,2024,Dec,Q4
ORD00142,2024-10-20,2024-10-31,USA,India,Sports,598,136.13,81405.74,3494.09,3724.67,26609.98,11,Sea,Distributor,2024,Oct,Q4
ORD00143,2024-05-03,2024-05-07,USA,China,Sports,379,52.49,19893.71,1538.69,1003.43,3495.63,4,Air,Retail,2024,May,Q2
ORD00144,2024-08-20,2024-08-22,USA,Australia,Home,269,378.71,101872.99,6330.23,2450.41,44973.89,2,Air,Distributor,2024,Aug,Q3
ORD00145,2023-11-12,2023-11-16,India,UAE,Sports,356,410.48,146130.88,6686.66,9754.03,50869.11,4,Rail,Distributor,2023,Nov,Q4
ORD00146,2023-01-09,2023-01-23,India,USA,Beauty,47,160.85,7559.95,256.6,241.68,3942.65,14,Road,Distributor,2023,Jan,Q1
ORD00147,2024-03-26,2024-04-10,USA,Japan,Home,47,381.58,17934.26,846.48,742.81,4970.12,15,Road,Retail,2024,Mar,Q1
ORD00148,2022-09-12,2022-09-26,China,Australia,Beauty,771,231.07,178154.97,20680.78,7187.16,69040.32,14,Rail,Retail,2022,Sep,Q3
ORD00149,2024-11-29,2024-12-05,India,Australia,Electronics,450,309.18,139131.0,14471.11,7336.16,48264.19,6,Air,Retail,2024,Nov,Q4
ORD00150,2023-08-29,2023-09-04,China,Australia,Fashion,716,233.08,166885.28,11722.3,10615.38,32153.34,6,Rail,Retail,2023,Aug,Q3
ORD00151,2022-04-28,2022-05-01,USA,Australia,Home,535,404.53,216423.55,19726.35,16700.83,84156.7,3,Rail,B2B,2022,Apr,Q2
ORD00152,2022-09-16,2022-09-19,India,UAE,Home,402,475.74,191247.48,6294.85,5585.63,77054.04,3,Road,Retail,2022,Sep,Q3
ORD00153,2024-06-28,2024-07-12,India,Germany,Sports,385,211.06,81258.1,7188.13,2842.14,35959.0,14,Sea,Retail,2024,Jun,Q2
ORD00154,2024-11-26,2024-12-04,USA,China,Home,803,144.94,116386.82,8166.23,9285.56,42409.09,8,Rail,B2B,2024,Nov,Q4
ORD00155,2022-09-09,2022-09-13,India,Japan,Fashion,930,362.42,337050.6,40363.03,23132.05,40900.15,4,Road,Distributor,2022,Sep,Q3
ORD00156,2023-12-13,2023-12-26,India,Singapore,Sports,307,447.84,137486.88,14659.21,8621.6,20962.83,13,Sea,Retail,2023,Dec,Q4
ORD00157,2024-11-07,2024-11-12,India,UK,Fashion,252,399.38,100643.76,3257.39,5358.4,40631.88,5,Sea,Distributor,2024,Nov,Q4
ORD00158,2022-06-26,2022-06-29,China,Australia,Beauty,548,217.18,119014.64,7956.01,6485.59,52492.47,3,Road,Distributor,2022,Jun,Q2
ORD00159,2022-06-01,2022-06-10,China,Singapore,Home,141,441.42,62240.22,6237.94,3634.06,24074.5,9,Sea,Retail,2022,Jun,Q2
ORD00160,2024-10-26,2024-11-10,India,USA,Sports,166,165.98,27552.68,1228.22,2096.33,11343.36,15,Road,B2B,2024,Oct,Q4
ORD00161,2023-05-29,2023-06-03,USA,Singapore,Home,138,320.01,44161.38,3766.9,1130.78,13107.08,5,Sea,B2B,2023,May,Q2
ORD00162,2023-11-23,2023-12-08,USA,India,Electronics,93,41.82,3889.26,341.21,212.38,1020.24,15,Rail,Distributor,2023,Nov,Q4
ORD00163,2022-03-04,2022-03-13,USA,Singapore,Home,667,479.19,319619.73,23480.87,21824.05,80785.94,9,Road,Retail,2022,Mar,Q1
ORD00164,2022-05-30,2022-06-12,India,Germany,Beauty,435,252.44,109811.4,5310.71,6193.32,44085.27,13,Road,Distributor,2022,May,Q2
ORD00165,2023-12-09,2023-12-17,India,UAE,Sports,585,70.97,41517.45,2148.79,1135.56,16026.3,8,Sea,B2B,2023,Dec,Q4
ORD00166,2022-04-14,2022-04-20,China,Australia,Fashion,995,435.35,433173.25,19221.18,17173.65,148437.55,6,Road,B2B,2022,Apr,Q2
ORD00167,2022-11-23,2022-12-02,USA,Japan,Beauty,910,168.1,152971.0,4908.21,11735.01,51943.88,9,Sea,B2B,2022,Nov,Q4
ORD00168,2023-12-24,2023-12-26,India,Canada,Beauty,621,443.52,275425.92,24480.79,13285.23,83143.97,2,Air,Retail,2023,Dec,Q4
ORD00169,2022-10-02,2022-10-08,USA,UAE,Beauty,384,41.72,16020.48,554.38,860.44,6455.13,6,Road,B2B,2022,Oct,Q4
ORD00170,2024-03-02,2024-03-12,China,Singapore,Home,855,494.76,423019.8,38594.58,11475.96,79997.54,10,Rail,Retail,2024,Mar,Q1
ORD00171,2023-11-26,2023-12-06,China,Germany,Fashion,626,264.38,165501.88,12413.8,3759.91,76323.48,10,Road,Retail,2023,Nov,Q4
ORD00172,2024-11-29,2024-12-08,India,Singapore,Fashion,345,467.06,161135.7,9453.46,7021.85,50404.04,9,Road,Distributor,2024,Nov,Q4
ORD00173,2023-11-20,2023-11-30,USA,Singapore,Beauty,735,290.2,213297.0,15515.3,4478.86,86788.32,10,Air,Retail,2023,Nov,Q4
ORD00174,2023-09-23,2023-10-07,USA,India,Sports,495,147.45,72987.75,6496.14,5716.65,18913.4,14,Sea,Distributor,2023,Sep,Q3
ORD00175,2022-04-16,2022-04-27,China,Germany,Sports,654,366.17,239475.18,23879.16,10252.27,50523.43,11,Sea,B2B,2022,Apr,Q2
ORD00176,2022-08-14,2022-08-19,India,Japan,Home,438,92.69,40598.22,3740.92,1811.6,9367.66,5,Rail,Distributor,2022,Aug,Q3
ORD00177,2022-05-08,2022-05-21,India,Singapore,Fashion,584,176.02,102795.68,9210.54,5296.92,37494.22,13,Sea,Retail,2022,May,Q2
ORD00178,2024-12-27,2025-01-03,USA,UAE,Home,634,252.41,160027.94,18588.9,5879.49,57217.91,7,Road,Retail,2024,Dec,Q4
ORD00179,2023-03-01,2023-03-14,USA,Japan,Home,501,187.43,93902.43,10707.98,6359.48,31570.5,13,Air,Distributor,2023,Mar,Q1
